Bucket label,RT,m/z,Name,Formula,Peak number
313.23611 Da 69.99 s,1.17,157.62533,,C21H31NO,bin_322
1422.38659 Da 70.15 s,1.17,712.20057,,C35H52N44O15P2S,bin_323
545.19496 Da 70.15 s,1.17,546.20224,,C20H35NO16,bin_324
72.02085 Da 70.46 s,1.17,73.02813,,,bin_325
566.20824 Da 70.85 s,1.18,567.21552,,,bin_326
115.04929 Da 70.85 s,1.18,116.05657,,C5H9NS,bin_327
722.25472 Da 70.85 s,1.18,362.13463,,,bin_328
560.17798 Da 70.85 s,1.18,281.09627,,C14H25N16O7P,bin_329
1096.39321 Da 70.85 s,1.18,549.20388,,,bin_330
69.02057 Da 70.85 s,1.18,70.02785,,C3H3NO,bin_331
578.19147 Da 70.85 s,1.18,290.10301,,C16H39N2O18P,bin_332
740.26780 Da 70.85 s,1.18,371.14118,,,bin_333
758.28041 Da 70.85 s,1.18,380.14748,,,bin_334
884.23286 Da 72.61 s,1.21,443.12371,,C20H38N24O11P2S,bin_335
416.04118 Da 72.61 s,1.21,417.04846,,C11H21N4O5PS3,bin_336
526.13753 Da 72.61 s,1.21,264.07604,,C20H14N16O3,bin_337
1748.52703 Da 73.16 s,1.22,875.27079,,C55H95N22O35P3S,bin_338
637.16618 Da 73.16 s,1.22,319.59037,,C18H25N17O6P2,bin_339
174.10078 Da 73.31 s,1.22,175.10806,,,bin_340
128.09477 Da 73.31 s,1.22,129.10204,,C6H12N2O,bin_341
866.27300 Da 73.31 s,1.22,867.28028,,,bin_342
521.19462 Da 73.31 s,1.22,522.2019,,C16H39N7O4S4,bin_343
159.12635 Da 73.37 s,1.22,160.13362,,C8H17NO2,bin_344
424.14274 Da 73.57 s,1.23,425.15001,,,bin_345
344.10462 Da 73.57 s,1.23,345.1119,,C22H16O4,bin_346
699.20170 Da 73.57 s,1.23,350.60813,,C22H41N3O20S,bin_347
676.17665 Da 73.57 s,1.23,339.0956,,C16H36N8O19S,bin_348
602.16551 Da 73.57 s,1.23,302.09003,,,bin_349
822.26527 Da 73.57 s,1.23,412.13991,,C16H47N20O11PS3,bin_350
203.12728 Da 73.57 s,1.23,204.13456,,C8H17N3O3,bin_351
438.10444 Da 74.38 s,1.24,220.0595,,C24H10N10,bin_352
701.25786 Da 74.68 s,1.24,702.26514,,,bin_353
586.02606 Da 75.10 s,1.25,587.03334,,,bin_354
301.05736 Da 75.90 s,1.26,302.06464,,C7H17N3O6P2,bin_355
203.11562 Da 75.90 s,1.26,204.1229,Acetylcarnitine,C9H17NO4,bin_356
334.06583 Da 75.90 s,1.26,335.0731,,C12H18N2O5S2,bin_357
