Bucket label,RT,m/z,Name,Formula,Peak number
174.07344 Da 51.54 s,0.86,88.044,,,pos 174.07344 Da 51.54 s
69.02626 Da 51.57 s,0.86,70.03354,,,pos 69.02626 Da 51.57 s
169.05951 Da 51.58 s,0.86,170.06679,,,pos 169.05951 Da 51.58 s
145.98627 Da 51.59 s,0.86,146.99355,,C5H6OS2,pos 145.98627 Da 51.59 s
78.53070 Da 51.65 s,0.86,79.53797,,,pos 78.53070 Da 51.65 s
95.00303 Da 51.68 s,0.86,96.0103,,,pos 95.00303 Da 51.68 s
196.00747 Da 51.68 s,0.86,99.01101,,,pos 196.00747 Da 51.68 s
161.95318 Da 51.68 s,0.86,81.98387,,,pos 161.95318 Da 51.68 s
136.93916 Da 51.68 s,0.86,69.47686,,,pos 136.93916 Da 51.68 s
137.97714 Da 51.68 s,0.86,69.99585,,,pos 137.97714 Da 51.68 s
72.48914 Da 51.68 s,0.86,73.49642,,,pos 72.48914 Da 51.68 s
171.91611 Da 51.68 s,0.86,86.96533,,,pos 171.91611 Da 51.68 s
197.04700 Da 51.68 s,0.86,99.53078,,,pos 197.04700 Da 51.68 s
174.01923 Da 51.68 s,0.86,88.01689,,,pos 174.01923 Da 51.68 s
154.96117 Da 51.68 s,0.86,78.48786,,,pos 154.96117 Da 51.68 s
172.98206 Da 51.68 s,0.86,87.49831,,,pos 172.98206 Da 51.68 s
87.91893 Da 51.68 s,0.86,88.92621,,,pos 87.91893 Da 51.68 s
124.96868 Da 51.68 s,0.86,125.97596,,,pos 124.96868 Da 51.68 s
106.51621 Da 51.68 s,0.86,107.52349,,,pos 106.51621 Da 51.68 s
96.96197 Da 51.68 s,0.86,97.96925,,,pos 96.96197 Da 51.68 s
157.99446 Da 51.68 s,0.86,80.00451,,,pos 157.99446 Da 51.68 s
89.49300 Da 51.68 s,0.86,90.50028,,,pos 89.49300 Da 51.68 s
115.52540 Da 51.68 s,0.86,116.53267,,,pos 115.52540 Da 51.68 s
207.95430 Da 51.68 s,0.86,104.98442,,,pos 207.95430 Da 51.68 s
